"Tone","PC","Bank Sel","Mono-compatible on CT-X","Mono-compatible on CDP-S"
"GRAND PIANO",0,3,0,0
"LA PIANO",1,4,0,0
"WIDE GRAND PIANO",0,5,0,0
"ELEC. GRAND PIANO",2,32,0,0
"MODERN E.G. PIANO",2,33,0,0
"GALAXIA EP",5,32,0,0
"DYNAMIC EP",4,32,0,0
"ELEC. PIANO 4",4,4,0,0
"ELEC. PIANO 5",5,34,0,0
"ELEC. PIANO 6",4,5,0,0
"DIGITAL E. PIANO 1",5,1,0,0
"DIGITAL E. PIANO 2",5,2,0,0
"DIGITAL E. PIANO 3",5,3,0,0
"E. PIANO WIDE",4,8,0,0
"MELLOW E. PIANO",4,9,0,0
"E. PIANO PAD",4,34,0,0
"VIBRAPHONE WIDE",11,3,0,0
"ORGAN PAD",16,6,0,0
"THEATER ORGAN",19,1,0,0
"ACCORDION FRENCH 2",21,33,0,0
"ACCORDION FRENCH 3",21,34,0,0
"ACCORDION ITALY 1",21,1,0,0
"ACCORDION ITALY 2",21,35,0,0
"ACCORDION",21,2,0,0
"CHORUS CLEAN GUITAR 2",27,6,0,0
"CHO SLAP BASS",36,33,0,0
"SYNTH-BASS 9",39,4,0,0
"SYNTH-BASS 10",39,5,0,0
"MELLOW STRINGS 1",49,1,0,0
"MELLOW STRINGS 2",48,1,0,0
"BRIGHT STRINGS",49,2,0,0
"WARM STRINGS",48,5,0,0
"CHAMBER",48,33,0,0
"ORCHESTRA HIT",55,4,0,0
"ORCHESTRA HIT 2",55,32,0,0
"STRING QUARTET",48,37,0,0
"SYNTH-BRASS 1",62,32,0,0
"BRASS SECTION 1",61,3,0,0
"BRASS SECTION 2",61,4,0,0
"BRASS SECTION 3",61,37,0,0
"SYNTH-BRASS 2",62,33,0,0
"SYNTH-BRASS 3",62,1,0,0
"SYNTH-BRASS 4",62,34,0,0
"ANALOG SYNTH-BRASS",62,36,0,0
"80'S SYNTH-BRASS",62,2,0,0
"TRANCE BRASS",63,32,0,0
"FRENCH HORN SECTION",60,1,0,0
"TRUMPET & TROMBONE & SAX",61,39,0,0
"SAX SECTION 1",65,40,0,0
"SAX SECTION 2",65,41,0,0
"PIPE SECTION",72,33,0,0
"SUPER SAW LEAD 1",81,16,0,0
"TRANCE POLY LEAD",81,18,0,0
"TRANCE PLUCK",81,38,0,1
"DIRTY PLUCK",80,38,0,1
"POP LEAD",81,43,0,0
"VOCAL CHOP SYNTH 2",85,17,0,0
"X SYNTH LEAD 1",81,7,0,1
"X SYNTH LEAD 2",80,36,0,1
"X SYNTH LEAD 3",81,32,0,1
"X SYNTH LEAD 4",80,37,0,1
"X SYNTH LEAD 5",81,33,0,0
"X SYNTH LEAD 6",80,6,0,0
